ACG 2021, Principles of Financial Accounting
SPC 4307, Talk in Relationships
SPC 4431, Family Communication
SPC 4701, Intercultural Communication
SPC 4714, Communication Culture and Community
SPC 4800, Online Communication
SPC 4900, Directed Readings
SPC 4903, Honors Readings
SPC 4905, Undergraduate Research
SPC 4930, Selected Topics
SPC 4970, Honors Thesis
SPM 3012, Issues in Sport
SPM 3256, Sport in Society: Contemporary Issues
SPN 1110, Introductory Spanish for High Beginners
SPN 1120, Beginning Spanish I
SPN 1121, Beginning Spanish II
SPN 2200, Spanish III
SPN 2201, Spanish IV
SPN 2240, Conversation I
SPN 2270, Overseas Study
SPN 2340, Advanced Spanish for Native Speakers I
SPN 3300, Advanced Spanish Grammar and Composition
SPN 3391, Latin American Cinema
SPN 3440, Spanish for Business and International Trade I
SPN 3441, Spanish for Business and International Trade II
SPN 3500, Spanish Civilization
SPN 3514, The Three Cultures of Medieval Spain
SPN 3520, Spanish-American Civilization
SPN 4301, Expository Writing
SPN 4410, Advanced Conversation
SPN 4470, Advanced Overseas Study
SPN 4700, Spanish Linguistics
SPS 3003, The Meaning of Madness
SPS 3004, Introduction to School Psychology
SPT 3100, Masterpieces of Hispanic Literature
SPW 3030, Introduction to Hispanic Literary Studies
SPW 3393, Spanish Culture through Literature and Film
SPW 3512, Religion in Hispanic Literature and Film
SPW 4130, Early Latin America Through Literature and Film
SPW 4131, Survey of Spanish-American Literature II
SPW 4145, Sex and Subversion in Spanish Art Lit and Film
SPW 4311, The Creative Genius of the Golden Age
SPW 4900, Directed Study
SPW 4930, Selected Topics
SSE 4313, Teaching Elementary (K-6) Social Studies
SSE 4333, Teaching Middle Grades Social Science
SSE 4334, Teaching Secondary Grades Social Science
SSE 4335, Teaching Social Science Themes
SSE 4380, Global and Multicultural Perspectives in Education
SSE 4600, Reading and Basic Skills in the Social Studies Class
SSE 4936, Senior Seminar in Social Science Education
SSE 4940, Internship: Social Science Education
STA 2023, Introductory Statistics I
STA 2122, Social Science Statistics
STA 3024, Introductory Statistics II
STA 3027, Statistics and Probability Connections
STA 4102, Computational Methods for Applied Statistics
STA 4202, Design of Experiments
STA 4222, Sample Survey Design
STA 4321, Introduction to Mathematical Statistics I
STA 4322, Introduction to Mathematical Statistics II
STA 4442, Introduction to Probability
STA 4502, Nonparametric Statistical Methods
STA 4504, Categorical Data Analysis
STA 4671, Reliability and Life Testing
STA 4702, Multivariate Statistical Methods
STA 4852, Applied Time Series
STA 4930, Selected Topics
SYA 3110, Classical Theory
SYA 3300, Research Methods
SYA 4121, Queer Theory
SYA 4304, Sociological Research Experience
SYA 4910, Individual Research
SYA 4930, Topics in Sociology
SYA 4935, Seminar in Sociology
SYA 4949, Sociological Internship
SYD 3700, Racial and Ethnic Relations
SYD 4238, Immigrants to America
SYD 4410, Urban Sociology
SYD 4411, Urban Life
SYD 4512, Sustainable Consumption
SYD 4601, Community Building and Social Change
SYD 4800, Gender and Society
SYG 2000, Introduction to Sociology
SYG 2010, Contemporary Social Problems
SYG 3011, Social Problems Through Film
SYG 3235, Latina/Latino Lives
SYO 3120, Sociology of Families
SYO 3200, Sociology of Religion
SYO 3530, Social Inequalities in a Global Society
SYO 4204, Religion and Immigration
SYO 4250, Sociology of Education
SYO 4400, Medical Sociology
SYO 4430, Disability and Society
SYO 4534, Poverty and Society
SYO 4536, Inequalities and Social Justice
SYO 4572, Hidden Structures of Social Life
SYO 4573, Social Networks
SYP 3000, Social Psychology
SYP 3060, Sociology of Sexualities
SYP 3562, Family Violence
SYP 4012, Emotions in Society
SYP 4111, Identity and Community
SYP 4420, Consumer Culture
SYP 4510, Sociological Aspects of Deviance
SYP 4513, Elite Deviance
SYP 4550, Drugs and Society
SYP 4650, Sport in Society
SYP 4651, Gender Sport and the Body
SYP 4675, Animals & Society
SYP 4763, Sociology of Childhood and Youth
TAX 4001, Concepts of Federal Income Taxation
TAX 4011, Federal Tax Accounting II
TAX 4940, IRS VITA Internship
THE 2000, Theater and Culture
THE 2020, Introduction to Theatre
THE 2023, Entry Seminar: Theatre as an Art Form
THE 2252, Great Performances on Film
THE 2305, Script Analysis
THE 3110, Theatre History I
THE 3111, Theatre History II
THE 4264, History of Costume
THE 4283, Architecture And Decoration
THE 4330, Shakespeare for the Theatre
THE 4401, American Drama
THE 4434, Caribbean Theatre
THE 4480, Drama-Special Topics
THE 4562, Contemporary Performance Theory
THE 4574, Sport as Performance
THE 4905, Directed Studies
THE 4930, Selected Topics In Theatre
TPA 2200, Introduction to Technical Theatre I
TPA 2211, Introduction to Technical Theatre II
TPA 2220, Introduction to Technical Theatre III
TPA 2248, Workshop In Stage Makeup
TPA 2292, Production Involvement I
TPA 3008, Introduction to Design II
TPA 3208, Drafting and CAD I
TPA 3251, Drafting and CAD II
TPA 3265, Sound For The Stage
TPA 3296, Design Practicum
TPA 3601, Stage Management
TPA 4077, Scene Painting
TPA 4273, Stage Properties: Techniques And Materials Studio
TPA 4293, Production Involvement II
TPA 4298, Advanced Design Practicum
TPP 2110, Acting I
TPP 2190, Studio Theatre Performance I
TPP 3155, Acting II
TPP 3230, Laboratory Workshop In Performance
TPP 3510, Movement for Actors
TPP 3580, Special Skills In Movement
TPP 3790, Voice for Actors
TPP 4140, Styles of Acting
TPP 4180, Acting III
TPP 4193, Studio Theatre Performance II
TPP 4221, Audition Workshop for Actors
TPP 4235, Ensemble Studio
TPP 4310, Directing I
TPP 4600, Writing For The Theatre
TPP 4920, Special Topics in Performance
TPP 4923, Music Theatre Workshop
TSL 4080, ESOL Curriculum and Pedagogy
TSL 4251, Applying Linguistics to ESOL Teaching and Testing
TSL 4324, ESOL Competencies and Strategies
TSL 4362, Methodology of Teaching English Overseas
TSL 4941, ESOL Practicum
TSL 4942, TESOL Practicum
TTE 4003, Transportation and Society
TTE 4004, Transportation Engineering I
TTE 4005, Transportation Engineering II
URP 4050, Introduction to Urban Planning
URP 4052, Urban Planning and Sustainability
URP 4053, Planning for Equitable Cities
URS 3002, Introduction to Urban Studies
URS 4930, Special Topics in Urban Studies
VIC 3001, Visual Literacy
VIC 3943, Visual Communication Internship
VIC 4311, InfoGraphics Design
WOH 2022, Global History since 1750
WOH 2030, World History since 1815
WOH 3245, History of Sports from National to Global Contexts
WOH 3266, The Modern British Empire
WOH 3293, Islam in World History
WOH 3423, Epidemics and Pandemics in World History
WST 2250, Female Experience in America
WST 2600, Human Sexual Behavior
WST 3006, Careers & Professionalism in WGS
WST 3015, Introduction to Women’s Studies
WST 3311, Issues in Feminism
WST 3324, Women Environment and Gender
WST 3334, Queer Film & Television
WST 3370, Women and Social Action
WST 3380, Sexualities Studies
WST 3412, Women in the Developing World
WST 3602, Introduction to LGBTQ Cultures
WST 4002, Feminist Research Methods
WST 4106, Global and Transnational Feminism
WST 4110, Women and Social Justice
WST 4262, Literature by Women of Color in the Diaspora
WST 4310, History of Feminism in the U.S.
WST 4313, Black Feminisms–Past and Present
WST 4320, Politics and Issues in Women’s Health
WST 4336, Feminist Theories of Media & Popular Culture
WST 4522, Classics in Feminist Theory
WST 4561, Contemporary Feminist Theory
WST 4645, Queer Theory
WST 4900, Directed Readings
WST 4910, Directed Research
WST 4930, Selected Topics
WST 4935, Capstone/Senior Project
WST 4940, Internship in Women’s & Gender Studies
ENY 4662, Medical and Applied Entomology
ZOO 4233, Parasitology
ZOO 4307, Vertebrate Zoology
ZOO 4454, Fish Biology
ZOO 4485, Marine Mammal Biology
ZOO 4512, Sociobiology
ZOO 4513, Animal Behavior
ZOO 4694, Developmental Biology
ZOO 4753, Human Histology & Molecular Pathology of Disease
ANG 7910,Directed Research
ANT 2511L,Biological Anthropology Lab
ANT 2511L,Biological Anthropology Lab
CHM 4060,Use of Chemical Literature
ENG 4906,Composition Workshop
ENG 4906,Composition Workshop
ENG 4906,Composition Workshop
PHY 2048L,General Physics I Laboratory This sections in intended for students taking PHY 2048 online. If you are taking the lecture in person please do not enroll.
PHY 2049L,General Physics II Laboratory This sections in intended for students taking PHY 2049 online. If you are taking the lecture in person please do not enroll!
PHY 2053L,General Physics I Laboratory This section is for online PHY 2053 lecture students only!
PHY 2053L,General Physics I Laboratory This section is for online PHY 2053 lecture students only!
PHY 2054L,General Physics II Laboratory This section is for online PHY 2054 lecture students only!
PHY 2054L,General Physics II Laboratory This section is for online PHY 2054 lecture students only!
EVR 4921,Environ Sci & Policy Seminar
GEO 4933,Geography Colloquium
CHI 1100,Practical Chinese
MHS 4906,Directed Study
RCS 6906,Independent Study For permit please contact tacosta@usf.edu
RCS 6906,Independent Study For permit please contact tacosta@usf.edu
RCS 6906,Independent Study For permit please contact tacosta@usf.edu
RCS 6906,Independent Study For permit please contact tacosta@usf.edu
RCS 6930,Critical Thinking & Com Collab
CCJ 6057,Cybercrime Capstone PERMIT REQUIRED; Starts 10/16/2023 ends on 12/07/2023; CyberCRIME students ONLY; Must have completed 23 hours in CyberCRIME program
SPA 6508,Practicum: AuD Extern II Permit Required. Contact: jenarossman@usf.edu
SPA 6508,Practicum: AuD Clerkship II Permit Required. Contact: jenarossman@usf.edu
GEY 4945,Internship For AGE students only.
GEY 4945,Internship For HTC students only. Cross-listed with CRN 88722.
GEY 6940,Field Placement MA/MS/ND Students Only. Email lubai@usf.edu for permit. Cross-listed with CRN 96014.
IDS 2600,Research in Community Settings
SOW 7919,Social Work Research
SOW 7919,Social Work Research
SOW 7919,Social Work Research
SOW 8907,Social Work Capstone Online MSW students only.
GEB 2098,Bus Honors Professional Devl I St Pete Business Honors Students only.  The course is taught synchronously online; participation in live virtual sessions during the listed day(s)/time(s) is required. Cross-listed w/ GEB 2098-099. Permit required and contact: Here 1 Yes Open A 10 0 10 0 M 05:00pm-05:50pm   OFFT OFF A. Bailey Off-campus - Tampa AD ODLU    $30.00(C)
HMG 6946,Graduate Internship request a permit  Click HERE 1 Yes Open A 5 0 5 0  TBA   OFFS OFF S. Dogan Off-campus - Tampa AD SDLG    $30.00(C)
ISM 6905,Independent Study For Students in the Global MS BAIS program (GBAIS) only.   Cross listed with ISM 6905.361. Permit required and contact: HERE 1 - 6 Yes Open A 30 0 30 0  TBA   OFFT OFF Staff Off-campus - Tampa AD JGRM   $525.00(C)
ISM 6905,Independent Study For Students in the Global MS BAIS program (GBAIS) only.   Cross listed with ISM 6905.360.  Permit required and contact: HERE 1 - 6 Yes Open A 20 0 20 0  TBA   OFFT OFF Staff Off-campus - Tampa AD JBAI   $575.00(C)
EEE 6322,High Vol Circuit Manufacture *For STeM Graduate Certificate ONLY | Permit required*
EEE 6325,Semiconductor Process Sim *For STeM Graduate Certificate ONLY | Permit required*
EEE 6352,Elctrnc Mtrls Dfcts & Junctns *For STeM Graduate Certificate ONLY | Permit required*
EEE 6354,Sem Device Physics Foundations *For STeM Graduate Certificate ONLY | Permit required*
EEE 6397,BJT & FET Fundamentals *For STeM Graduate Certificate ONLY | Permit required*
EEL 6936,EE Graduate Seminar *Not for EE Students*
EEL 7910,Directed Research
CGN 6933,Leadership Development in FEWS
CIS 6930,CSE TA Training
EDE 6906,Ind St: Elem/Early Child Ed For a permit contact Jen Conley conley12@usf.edu
EDG 6947,MAT Final Internship
EME 7910,Dir Rsch Inst Tch For Permit contact ylou@usf.edu
EME 7910,Dir Rsch Inst Tch For Permit contact glenns@usf.edu
EME 7910,Dir Rsch Inst Tch For permit contact park2@usf.edu
EME 7910,Dir Rsch Inst Tch For permit contact fisk@usf.edu
EME 7910,Dir Rsch Inst Tch For permit contact jameshatten@usf.edu
EDF 7910,Dir Rsch: Measurement & Eval
EDG 7931,Externship in School Psych
PET 6906,Ind Study: Prof Phys Ed
PET 6906,Ind Study: Prof Phys Ed
PET 6910L,Res Project in Phys Ed
PET 6947,Internship in Ex. Sci.
EEX 4942,Prac Exp Teacher Candidate Edu
EEX 4942,Prac Exp Teacher Candidate Edu Held at school site M-R; synchronously online Wed 4-4:50.
EEX 6943,Pract in Exceptional Stu Ed MAT Students only. Held at school site M-R; synchronously online Wed 4-4:50.
ECT 7910,Dir Rsch: Vocational Ed
ECT 7910,Dir Rsch: Vocational Ed
ECT 7910,Dir Rsch: Vocational Ed
ARH 4940,Art History Practicum
ART 3939,The Real World Permit is required.
ART 4941,Avant-Garde Permit is required.
MUE 7939,Seminar Music Educ Research
BSC 2085L,Anat/Phys Lab I-Health Profs For a co-requisite permit complete the permit request form.  For a co-requisite permit complete this form: https://usf.az1.qualtrics.com/jfe/form/SV_bJyrjFj4dnxVnxQ
BSC 2086L,Anatomy Physi Lab II Hlth Prof For a co-requisite permit complete a permit request.  Request a co-requisite here: https://usf.az1.qualtrics.com/jfe/form/SV_bJyrjFj4dnxVnxQ
HIM 6908,Health Info Independent Study M.S. or Certificate Health Informatics Students Only.  Contact Natalie Conklin at nconklin@usf.edu for a course permit. For more information on the MSHI program: https://www.usfhealthonline.com/programs/
HIM 6908,Health Info Independent Study M.S. or Certificate Health Informatics Students Only  Contact Natalie Conklin at nconklin@usf.edu for a course permit. For more information on the MSHI program: https://www.usfhealthonline.com/programs/
BSC 2085L,Anat/Phys Lab I-Health Profs Must also register for BSC 2085.050 CRN 92462
BSC 2085L,Anat/Phys Lab I-Health Profs Must also register for BSC 2085.002 CRN 87881
BSC 2085L,Anat/Phys Lab I-Health Profs Must also register for BSC 2085.003 CRN 87883
BSC 2086L,Anatomy Physi Lab II Hlth Prof Must also register for BSC 2086.050 CRN 92464
MCB 2000L,Microbiology Lab Hlth Prof Must also register for MCB 2000.050 CRN 92471
NGR 6234,Reprod Hlth Mdl Age to Old Adu
NGR 6234,Reprod Hlth Mdl Age to Old Adu
NGR 6342,Repr Hlth for Yng to Mdl Ag Ad
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7955C,DNP Project I
NGR 7958C,DNP Project IV
NGR 7958C,DNP Project IV
NGR 7958C,DNP Project IV
NGR 7958C,DNP Project IV
NGR 7958C,DNP Project IV
NGR 7958C,DNP Project IV
NGR 7958C,DNP Project IV
NGR 7958C,DNP Project IV
NGR 7958C,DNP Project IV
NGR 7958C,DNP Project IV
NGR 7958C,DNP Project IV
NGR 7958C,DNP Project IV
NGR 7958C,DNP Project IV
NGR 7958C,DNP Project IV
HSC 4933,Health Sciences Internship
PHC 6588,History & Systems of PH This class meets for the first 5 weeks of the semester. This section is reserved for online concentrations only.
PHC 6588,History & Systems of PH Section offered as online synchronous. This class meets for the first 5 weeks of the semester
PHC 6588,History & Systems of PH Reduced Rate Students ONLY
PHC 6907,Independent Study: Pub Hlth
PHC 6907,Independent Study: Pub Hlth
PHC 6907,Independent Study: Pub Hlth
PHC 6907,Independent Study: Pub Hlth
PHC 6907,Independent Study: Pub Hlth
PHC 6934,Nutri & Dietetics Profess Prac
PHC 6934,Adv Rev of Genetic Conditions
PHC 6934,Intro Global Disaster Mgmt Hum Reduced Rate Students ONLY
PHC 6945,Supervised Field Experience
PHC 6945,Supervised Field Experience
PHC 6945,Supervised Field Experience
PHC 6945,Supervised Field Experience
PHC 6945,Supervised Field Experience
PHC 7908,Spec Study in Public Health
PHC 7908,Spec Study in Public Health
PHC 7908,Spec Study in Public Health
PHC 7908,Spec Study in Public Health
PHC 7908,Spec Study in Public Health
PHC 7908,Spec Study in Public Health
PHC 7908,Spec Study in Public Health
PHC 7908,Spec Study in Public Health
PHC 7908,Spec Study in Public Health
PHC 7910,Directed Research
PHC 7910,Directed Research
PHC 7910,Directed Research
PHC 7910,Directed Research
PHA 7939,Graduate Programs Seminar To request a permit: Permit Request flyer
IDS 3947,Internship Center for Career & Professional Development Internship Program: Must have a confirmed internship offer to request permit. 100% Online:  Coursework begins at start of internship employment - Permit Request 0 - 6 Yes Open A 75 0 75 0  TBA   OFFT OFF Staff Off-campus - Tampa AD ODLU    $30.00(C)
IDS 3947,Internship Center for Career & Professional Development Internship Program: Must have a confirmed internship offer to request permit. 100% Online:  Coursework begins at start of internship employment - as early as September 9th Permit Request 0 - 6 Yes Open A 30 0 30 0  TBA   OFFT OFF Staff Off-campus - Tampa AD ODLU    $30.00(C)
IDS 3949,Co-Op Education Parallel Report your Co-op Hire â€“ Permit Request 0 - 2 Yes Open A 20 0 20 0  TBA   OFFT OFF Staff Off-campus - Tampa AD ODLU    $30.00(C)
IDS 3949,Co-Op Education Parallel This section is for Co-op students returning for their 2nd semester at Co-op site.  Report your Co-op Return Hire â€“ Permit Request 0 - 2 Yes Open A 20 0 20 0  TBA   OFFT OFF Staff Off-campus - Tampa AD ODLU    $30.00(C)
IDS 3949,Co-Op Education Parallel This section is for Co-op students returning for their 3rd+ semester at Co-op site.  Report your Co-op Return Hire â€“ Permit Request 0 - 2 Yes Open A 20 0 20 0  TBA   OFFT OFF Staff Off-campus - Tampa AD ODLU    $30.00(C)
IDS 4949,Co-Op Education Alternating Report your Co-op Hire â€“ Permit Request 0 - 3 Yes Open A 20 0 20 0  TBA   OFFT OFF Staff Off-campus - Tampa AD ODLU    $30.00(C)
IDS 4949,Co-Op Education Alternating This section is for Co-op students returning for their 2nd semester at Co-op site.  Report your Co-op Return Hire â€“ Permit Request 0 - 3 Yes Open A 20 0 20 0  TBA   OFFT OFF Staff Off-campus - Tampa AD ODLU    $30.00(C)
IDS 4949,Co-Op Education Alternating This section is for Co-op students returning for their 3rd+ semester at Co-op site.  Report your Co-op Return Hire â€“ Permit Request 0 - 3 Yes Open A 20 0 20 0  TBA   OFFT OFF Staff Off-campus - Tampa AD ODLU    $30.00(C)
SLS 3308,Job Search Comments: Variable credit 1-3. View syllabus here. Juniors and Seniors only.
SLS 3308,Job Search Juniors and Seniors only. Variable credit 1-3. View syllabus here. Begins 10/28. Last day to drop/add via Alt. Cal. is 11/3. Ends 12/6. Permit request here. Permits issued after Sept. 1
SLS 3308,Job Search Comments: Juniors and Seniors only. Variable credit 1-3. View syllabus here. Begins 8/26/2024. Ends 10/4/2024
SLS 3308,Job Search Juniors and Seniors only. Variable credit 1-3. View syllabus here. Begins 10/28. Last day to drop/add via Alt. Cal. is 11/3. Ends 12/6. Permit request here. Permits issued after Sept. 1
SLS 3308,Job Search Comments: Variable credit 1-3. View syllabus here. Begins 8/26/24. Ends 10/4/24.
SLS 3308,Job Search Comments: Variable credit 1-3. View syllabus here. Begins 8/26/24. Ends 10/4/24.
SLS 3308,Job Search Comments: Variable credit 1-3. View syllabus here. Begins 8/26/24. Ends 10/4/24.
SLS 3308,Job Search Juniors and Seniors only. Variable credit 1-3. View syllabus here. Begins 10/28. Last day to drop/add via Alt. Cal. is 11/3. Ends 12/6. Permit request here. Permits issued after Sept. 1
SLS 3308,Job Search Juniors and Seniors only. Variable credit 1-3. View syllabus here. Begins 10/28. Last day to drop/add via Alt. Cal. is 11/3. Ends 12/6. Permit request here. Permits issued after Sept. 1
BSC 2010L,Bio I Cellular Processes Lab DUAL ENROLLMENT PROGRAM - WENDELL KRINN TECH. HS STUDENTS ONLY: 7650 Orchid Lake Rd New Port Richey FL 34653 (FL101)
EDG 6947,MAT Final Internship Manatee Schools
EDG 6947,MAT Final Internship Sarasota Schools
MMC 4910,Indv Research in Mass Comm
MMC 4910,Indv Research in Mass Comm
MMC 4910,Indv Research in Mass Comm
MMC 4945,Internship  Dual-listed w/ MMC 6945.
MMC 6945,Professional Practicum  Dual-listed w/ MMC 4945.
MMC 6950,Applied Research Project
MMC 6950,Applied Research Project
ISM 6905,Independent Study For students in the Cyber Management Online Program only.  1st 8wks.  Meets: 8/26-10/18 Permit required. For permit to register go: HERE 1 - 6 Yes Open A 40 0 40 0  TBA   OFFT OFF V. Kayhan Off-campus - St. Petersburg AD PDLG    $30.00(C)
ISM 6905,Independent Study For students in the Cyber Management Online Program only. Section meets 2nd 8 weeks 10/21-12/12. Permit required. For permit to register go: HERE 1 - 6 Yes Open A 40 0 40 0  TBA   OFFP OFF V. Kayhan Off-campus - St. Petersburg AD PDLG    $30.00(C)
ISM 6905,Independent Study For students in the Cyber Management Online Program only. Permit required. For permit to register go: HERE 1 - 6 Yes Open A 40 0 40 0  TBA   OFFT OFF V. Kayhan Off-campus - St. Petersburg AD PDLG    $30.00(C)
EDG 4012,Standards Based Education For USF St. Pete College of Education majors only.
TSL 4941,ESOL Practicum BXE
ART 2930,Graphic Design Theory and Cult
NUR 3066L,Hlth Asses Well Prev Ac LS Lab
IDS 3947,Internship Request a permit here.
IDS 3947,Internship Request a permit here. Starts Oct 30 ends Dec 7.
SPA 6505,Practicum: Suncoast Intro Prac Suncoast Year 1 (Cohort XVII Only). Permit Required. Contact: jenarossman@usf.edu Mandatory online synchronous meetings Monday 6p-7:30p.
ANT 4930,ST: Alcohol & Drinking Rituals   in Archaeology.
ANT 4930,ST: Forensics & Legal Anthropology.
BSC 2010L,Bio I Cellular Processes Lab
BSC 2010L,Bio I Cellular Processes Lab
BSC 2010L,Bio I Cellular Processes Lab
BSC 2010L,Bio I Cellular Processes Lab
BSC 2010L,Bio I Cellular Processes Lab
BSC 2011L,Biology II Diversity Lab
BSC 2011L,Biology II Diversity Lab
BSC 2011L,Biology II Diversity Lab
BSC 2011L,Biology II Diversity Lab
BSC 2011L,Biology II Diversity Lab
BSC 2085L,Anat/Phys Lab I-Health Profs
BSC 2085L,Anat/Phys Lab I-Health Profs
BSC 4910,Undergraduate Research
BSC 4910,Undergraduate Research
BSC 4910,Undergraduate Research
BSC 4910,Undergraduate Research  Conservation Research Experience (C-REX). Must take 3 cr.
BSC 4910,Undergraduate Research
BSC 4910,Undergraduate Research
BSC 6910,Directed Research
BSC 6910,Directed Research
BSC 6910,Directed Research
BSC 6932,ST: Advances in Climate  change responses.
BSC 6932,ST: Advances in Floristics  Research.
MCB 3020L,General Microbiology Lab
MCB 3020L,General Microbiology Lab
MCB 3020L,General Microbiology Lab
PCB 3043L,Principles of Ecology Lab
PCB 3043L,Principles of Ecology Lab
PCB 3043L,Principles of Ecology Lab
PCB 3043L,Principles of Ecology Lab
PCB 3063L,General Genetics Lab
PCB 3063L,General Genetics Lab
PCB 3063L,General Genetics Lab
PCB 3063L,General Genetics Lab
PCB 3063L,General Genetics Lab
PCB 3713L,General Physiology Lab
CHM 2045L,General Chemistry I Lab
CHM 2045L,General Chemistry I Lab
CHM 2045L,General Chemistry I Lab
CHM 2045L,General Chemistry I Lab
CHM 2045L,General Chemistry I Lab
CHM 2045L,General Chemistry I Lab
CHM 2045L,General Chemistry I Lab
CHM 2045L,General Chemistry I Lab
CHM 2046L,General Chemistry II Lab
CHM 2046L,General Chemistry II Lab
CHM 2046L,General Chemistry II Lab
CHM 2046L,General Chemistry II Lab
ENG 6916,Directed Research
HIS 4900,Directed Reading
HIS 4940,Internship in History
HIS 6908,Independent Study
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
PHY 2054L,General Physics II Laboratory
IDS 4914,Adv Undergrad Research Exp
PSY 4913,Directed Study
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 7918,Directed Research
EVR 2001L,Environmental Science Lab ESP Majors must take lecture and lab.
EVR 2001L,Environmental Science Lab ESP Majors must take lecture and lab.
EVR 6908,ESP Independent Study
EVR 6908,ESP Independent Study
GEO 6918,Directed Research
GEO 6918,Directed Research
ISS 4900,Directed Readings
WST 4930,ST: Sex Work and Trafficking For complete course descriptions  click here.
CCJ 7910,Advanced Research
GEB 2935,Selected Topics in Business BBC and ZAP students only
EDG 4934,Final Intern Seminar USF St. Pete College of Education students only. Email Arleyna Loss (arleyna@usf.edu) for permit.
MAE 7910,Dir Rsch Mth Ed
SCE 7910,Directed Research: Sci Educ.
IDS 6940,Cooperative Internship
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 6972,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
OCE 7910,Directed Research
NUR 3027L,Pat Cen Care Ess Nur Prac Lab
NEB 0001,Offline for Construction
MSL 2900,Army Physical Readiness Students to meet at TER400 for PT.
BSC 2011L,Biology II Diversity Lab - LOC: Science Labs - Address: 1703 Ken Thompson Pkwy 34236.
BSC 2011L,Biology II Diversity Lab - LOC: Science Labs - Address: 1703 Ken Thompson Pkwy 34236.
BSC 2011L,Biology II Diversity Lab - LOC: Science Labs - Address: 1703 Ken Thompson Pkwy 34236.
BSC 2011L,Biology II Diversity Lab - LOC: Science Labs - Address: 1703 Ken Thompson Pkwy 34236.
BSC 4905,Independent Study: Impact of Harmful Algal Blooms
BSC 4910,Undergraduate Research
BSC 4910,Undergraduate Research
PCB 3023L,Cell Biology Laboratory - LOC: Science Labs - Address: 1703 Ken Thompson Pkwy 34236.
PCB 3063L,General Genetics Lab - LOC: Science Labs - Address: 1703 Ken Thompson Pkwy 34236.
PCB 3063L,General Genetics Lab - LOC: Science Labs - Address: 1703 Ken Thompson Pkwy 34236.
CHM 2045L,General Chemistry I Lab - LOC: Science Labs - Address: 1703 Ken Thompson Pkwy 34236. Must be taken with co-requisite CHM2045.
CHM 2045L,General Chemistry I Lab - LOC: Science Labs - Address: 1703 Ken Thompson Pkwy 34236. Must be taken with co-requisite CHM2045.
CHM 2045L,General Chemistry I Lab - LOC: Science Labs - Address: 1703 Ken Thompson Pkwy 34236. Must be taken with co-requisite CHM2045.
CHM 2046L,General Chemistry II Lab - LOC: Science Labs - Address: 1703 Ken Thompson Pkwy 34236. Must be taken with co-requisite CHM2046.
CHM 2046L,General Chemistry II Lab - LOC: Science Labs - Address: 1703 Ken Thompson Pkwy 34236. Must be taken with co-requisite CHM2046.
PHY 2048L,General Physics I Laboratory
PHY 2048L,General Physics I Laboratory
PHY 2048L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
PHY 2053L,General Physics I Laboratory
IDS 4914,Adv Undergrad Research Exp
PSY 4913,Social Relationships - Independent study contract required. On Tampa campus in room PCD 3120.
PSY 4913,Directed Study - Independent study contract required
PSY 4913,Directed Study - Independent study contract required
PSY 6917,Directed Research
PSY 6917,Directed Research
PSY 6917,Directed Research
ISS 4940,ISS Internship - There will be 8 online meetings held every other Wednesday at 2PM. Please contact instructor at bturnbull1@usf.edu for details.
EDA 6910,Directed Research
EDA 6910,Directed Research
EDA 6910,Directed Research
NEB 0001,OSE displacement during renos
BSC 6910,Directed Research
BSC 6910,Directed Research
BSC 7910,Directed Research
BSC 7936,Doctoral Seminar
SLS 2901,Academic Foundations Seminar Rising Health Professionals LLC students only
SLS 2901,Academic Foundations Seminar Rising Health Professionals LLC students only
ANG 7905,Directed Individual Study
ANG 7905,Directed Individual Study
ANG 7905,Directed Individual Study
